classical monocyte,CCL13
CCL13,eosinophil
classical monocyte,CCL13
CCL13,plasmacytoid DC
classical monocyte,CCL13
CCL13,NK-cell
classical monocyte,CCL13
CCL13,basophil
classical monocyte,CCL13
CCL13,MAIT T-cell
myeloid DC,CCL17
CCL17,eosinophil
myeloid DC,CCL17
CCL17,T-reg
memory B-cell,CCL17
CCL17,T-reg
memory B-cell,CCL17
CCL17,NK-cell
memory B-cell,CCL17
CCL17,eosinophil
myeloid DC,CCL17
CCL17,NK-cell
intermediate monocyte,CCL19
CCL19,naive CD4 T-cell
intermediate monocyte,CCL19
CCL19,plasmacytoid DC
intermediate monocyte,CCL19
CCL19,NK-cell
intermediate monocyte,CCL19
CCL19,basophil
intermediate monocyte,CCL19
CCL19,eosinophil
intermediate monocyte,CCL19
CCL19,T-reg
intermediate monocyte,CCL1
CCL1,T-reg
classical monocyte,CCL1
CCL1,T-reg
MAIT T-cell,CCL20
CCL20,T-reg
MAIT T-cell,CCL20
CCL20,naive B-cell
MAIT T-cell,CCL20
CCL20,memory CD4 T-cell
MAIT T-cell,CCL20
CCL20,memory B-cell
MAIT T-cell,CCL20
CCL20,plasmacytoid DC
eosinophil,CCL23
CCL23,NK-cell
intermediate monocyte,CCL24
CCL24,eosinophil
intermediate monocyte,CCL24
CCL24,NK-cell
intermediate monocyte,CCL24
CCL24,basophil
memory B-cell,CCL25
CCL25,basophil
NK-cell,CCL25
CCL25,eosinophil
memory B-cell,CCL25
CCL25,naive B-cell
memory B-cell,CCL25
CCL25,T-reg
NK-cell,CCL25
CCL25,naive B-cell
memory B-cell,CCL25
CCL25,NK-cell
memory B-cell,CCL25
CCL25,eosinophil
NK-cell,CCL25
CCL25,memory B-cell
NK-cell,CCL25
CCL25,T-reg
NK-cell,CCL25
CCL25,basophil
intermediate monocyte,CCL26
CCL26,eosinophil
intermediate monocyte,CCL26
CCL26,basophil
intermediate monocyte,CCL26
CCL26,MAIT T-cell
T-reg,CCL27
CCL27,eosinophil
T-reg,CCL27
CCL27,NK-cell
classical monocyte,CCL2
CCL2,eosinophil
classical monocyte,CCL2
CCL2,NK-cell
eosinophil,CCL2
CCL2,T-reg
eosinophil,CCL2
CCL2,basophil
eosinophil,CCL2
CCL2,MAIT T-cell
classical monocyte,CCL2
CCL2,basophil
classical monocyte,CCL2
CCL2,MAIT T-cell
eosinophil,CCL2
CCL2,NK-cell
classical monocyte,CCL2
CCL2,T-reg
bone marrow,CCL3L1
CCL3L1,NK-cell
neutrophil,CCL3L1
CCL3L1,MAIT T-cell
neutrophil,CCL3L1
CCL3L1,NK-cell
eosinophil,CCL3L1
CCL3L1,basophil
bone marrow,CCL3L1
CCL3L1,basophil
neutrophil,CCL3L1
CCL3L1,basophil
eosinophil,CCL3L1
CCL3L1,MAIT T-cell
eosinophil,CCL3L1
CCL3L1,NK-cell
bone marrow,CCL3L1
CCL3L1,eosinophil
bone marrow,CCL3L1
CCL3L1,MAIT T-cell
neutrophil,CCL3L1
CCL3L1,eosinophil
bone marrow,CCL3
CCL3,NK-cell
bone marrow,CCL3
CCL3,memory B-cell
bone marrow,CCL3
CCL3,naive B-cell
gdT-cell,CCL3
CCL3,NK-cell
gdT-cell,CCL3
CCL3,memory B-cell
gdT-cell,CCL3
CCL3,basophil
bone marrow,CCL3
CCL3,basophil
gdT-cell,CCL3
CCL3,MAIT T-cell
bone marrow,CCL3
CCL3,eosinophil
bone marrow,CCL3
CCL3,MAIT T-cell
bone marrow,CCL3
CCL3,T-reg
gdT-cell,CCL3
CCL3,eosinophil
gdT-cell,CCL3
CCL3,naive B-cell
gdT-cell,CCL3
CCL3,T-reg
bone marrow,CCL4L2
CCL4L2,NK-cell
eosinophil,CCL4L2
CCL4L2,T-reg
eosinophil,CCL4L2
CCL4L2,basophil
bone marrow,CCL4L2
CCL4L2,basophil
eosinophil,CCL4L2
CCL4L2,MAIT T-cell
eosinophil,CCL4L2
CCL4L2,NK-cell
bone marrow,CCL4L2
CCL4L2,eosinophil
bone marrow,CCL4L2
CCL4L2,MAIT T-cell
bone marrow,CCL4L2
CCL4L2,T-reg
MAIT T-cell,CCL4
CCL4,T-reg
naive CD8 T-cell,CCL4
CCL4,MAIT T-cell
gdT-cell,CCL4
CCL4,basophil
MAIT T-cell,CCL4
CCL4,basophil
MAIT T-cell,CCL4
CCL4,eosinophil
memory CD8 T-cell,CCL4
CCL4,T-reg
MAIT T-cell,CCL4
CCL4,NK-cell
naive CD8 T-cell,CCL4
CCL4,basophil
memory CD8 T-cell,CCL4
CCL4,MAIT T-cell
naive CD8 T-cell,CCL4
CCL4,eosinophil
gdT-cell,CCL4
CCL4,NK-cell
naive CD8 T-cell,CCL4
CCL4,T-reg
naive CD8 T-cell,CCL4
CCL4,NK-cell
memory CD8 T-cell,CCL4
CCL4,NK-cell
gdT-cell,CCL4
CCL4,MAIT T-cell
memory CD8 T-cell,CCL4
CCL4,basophil
gdT-cell,CCL4
CCL4,eosinophil
gdT-cell,CCL4
CCL4,T-reg
memory CD8 T-cell,CCL4
CCL4,eosinophil
memory CD8 T-cell,CCL5
CCL5,MAIT T-cell
memory CD8 T-cell,CCL5
CCL5,plasmacytoid DC
gdT-cell,CCL5
CCL5,NK-cell
gdT-cell,CCL5
CCL5,basophil
memory CD8 T-cell,CCL5
CCL5,NK-cell
gdT-cell,CCL5
CCL5,MAIT T-cell
memory CD8 T-cell,CCL5
CCL5,T-reg
gdT-cell,CCL5
CCL5,plasmacytoid DC
memory CD8 T-cell,CCL5
CCL5,basophil
gdT-cell,CCL5
CCL5,eosinophil
gdT-cell,CCL5
CCL5,T-reg
memory CD8 T-cell,CCL5
CCL5,eosinophil
bone marrow,CCL7
CCL7,NK-cell
classical monocyte,CCL7
CCL7,eosinophil
classical monocyte,CCL7
CCL7,MAIT T-cell
bone marrow,CCL7
CCL7,MAIT T-cell
bone marrow,CCL7
CCL7,T-reg
classical monocyte,CCL7
CCL7,T-reg
classical monocyte,CCL7
CCL7,plasmacytoid DC
classical monocyte,CCL7
CCL7,NK-cell
bone marrow,CCL7
CCL7,basophil
classical monocyte,CCL7
CCL7,basophil
bone marrow,CCL7
CCL7,eosinophil
bone marrow,CCL7
CCL7,plasmacytoid DC
classical monocyte,CCL8
CCL8,eosinophil
classical monocyte,CCL8
CCL8,NK-cell
classical monocyte,CCL8
CCL8,basophil
classical monocyte,CCL8
CCL8,MAIT T-cell
naive CD4 T-cell,CD40LG
CD40LG,naive B-cell
MAIT T-cell,CD40LG
CD40LG,naive B-cell
memory CD4 T-cell,CD40LG
CD40LG,memory B-cell
memory CD4 T-cell,CD40LG
CD40LG,naive B-cell
naive CD4 T-cell,CD40LG
CD40LG,memory B-cell
MAIT T-cell,CD40LG
CD40LG,memory B-cell
gdT-cell,CD40LG
CD40LG,memory B-cell
gdT-cell,CD40LG
CD40LG,naive B-cell
memory B-cell,CD70
CD70,T-reg
neutrophil,CKLF
CKLF,T-reg
basophil,CSF1
CSF1,intermediate monocyte
eosinophil,CSF1
CSF1,intermediate monocyte
NK-cell,CSF2
CSF2,plasmacytoid DC
NK-cell,CSF2
CSF2,neutrophil
NK-cell,CSF2
CSF2,classical monocyte
NK-cell,CSF2
CSF2,myeloid DC
NK-cell,CSF2
CSF2,basophil
NK-cell,CSF2
CSF2,eosinophil
NK-cell,CSF2
CSF2,intermediate monocyte
classical monocyte,CXCL10
CXCL10,eosinophil
classical monocyte,CXCL10
CXCL10,plasmacytoid DC
intermediate monocyte,CXCL10
CXCL10,plasmacytoid DC
intermediate monocyte,CXCL10
CXCL10,eosinophil
classical monocyte,CXCL10
CXCL10,basophil
intermediate monocyte,CXCL10
CXCL10,basophil
classical monocyte,CXCL11
CXCL11,eosinophil
classical monocyte,CXCL11
CXCL11,plasmacytoid DC
classical monocyte,CXCL11
CXCL11,basophil
intermediate monocyte,CXCL12
CXCL12,myeloid DC
intermediate monocyte,CXCL12
CXCL12,classical monocyte
intermediate monocyte,CXCL12
CXCL12,naive CD4 T-cell
intermediate monocyte,CXCL12
CXCL12,plasmacytoid DC
intermediate monocyte,CXCL12
CXCL12,memory CD4 T-cell
intermediate monocyte,CXCL12
CXCL12,bone marrow
intermediate monocyte,CXCL12
CXCL12,T-reg
memory CD8 T-cell,CXCL13
CXCL13,plasmacytoid DC
memory CD8 T-cell,CXCL13
CXCL13,T-reg
memory CD8 T-cell,CXCL13
CXCL13,basophil
memory CD8 T-cell,CXCL13
CXCL13,memory B-cell
memory CD8 T-cell,CXCL13
CXCL13,naive B-cell
myeloid DC,CXCL14
CXCL14,bone marrow
intermediate monocyte,CXCL2
CXCL2,myeloid DC
intermediate monocyte,CXCL2
CXCL2,neutrophil
bone marrow,CXCL8
CXCL8,neutrophil
intermediate monocyte,CXCL9
CXCL9,plasmacytoid DC
intermediate monocyte,CXCL9
CXCL9,basophil
intermediate monocyte,CXCL9
CXCL9,eosinophil
neutrophil,EGF
EGF,gdT-cell
neutrophil,EGF
EGF,NK-cell
neutrophil,EGF
EGF,plasmacytoid DC
gdT-cell,FASLG
FASLG,neutrophil
memory CD8 T-cell,FLT3LG
FLT3LG,plasmacytoid DC
naive CD4 T-cell,FLT3LG
FLT3LG,myeloid DC
MAIT T-cell,FLT3LG
FLT3LG,myeloid DC
memory CD4 T-cell,FLT3LG
FLT3LG,myeloid DC
naive CD8 T-cell,FLT3LG
FLT3LG,myeloid DC
T-reg,FLT3LG
FLT3LG,plasmacytoid DC
memory CD4 T-cell,FLT3LG
FLT3LG,plasmacytoid DC
MAIT T-cell,FLT3LG
FLT3LG,plasmacytoid DC
naive CD8 T-cell,FLT3LG
FLT3LG,plasmacytoid DC
gdT-cell,FLT3LG
FLT3LG,plasmacytoid DC
naive CD4 T-cell,FLT3LG
FLT3LG,plasmacytoid DC
T-reg,FLT3LG
FLT3LG,myeloid DC
gdT-cell,FLT3LG
FLT3LG,myeloid DC
memory CD8 T-cell,FLT3LG
FLT3LG,myeloid DC
basophil,HGF
HGF,neutrophil
basophil,HGF
HGF,MAIT T-cell
basophil,HGF
HGF,NK-cell
basophil,HGF
HGF,plasmacytoid DC
memory CD4 T-cell,IFNG
IFNG,neutrophil
naive CD8 T-cell,IFNG
IFNG,neutrophil
gdT-cell,IFNG
IFNG,neutrophil
bone marrow,IFNG
IFNG,neutrophil
memory CD8 T-cell,IFNG
IFNG,neutrophil
memory CD8 T-cell,IFNL1
IFNL1,plasmacytoid DC
MAIT T-cell,IFNL1
IFNL1,plasmacytoid DC
naive CD8 T-cell,IFNL1
IFNL1,plasmacytoid DC
gdT-cell,IFNL1
IFNL1,plasmacytoid DC
myeloid DC,IFNL1
IFNL1,plasmacytoid DC
NK-cell,IFNL1
IFNL1,plasmacytoid DC
memory CD4 T-cell,IFNL1
IFNL1,plasmacytoid DC
neutrophil,IL11
IL11,naive CD4 T-cell
naive B-cell,IL12A
IL12A,T-reg
naive B-cell,IL12A
IL12A,NK-cell
neutrophil,IL12B
IL12B,MAIT T-cell
neutrophil,IL12B
IL12B,NK-cell
myeloid DC,IL18
IL18,bone marrow
myeloid DC,IL18
IL18,NK-cell
basophil,IL19
IL19,memory CD4 T-cell
bone marrow,IL1B
IL1B,neutrophil
classical monocyte,IL1RN
IL1RN,neutrophil
myeloid DC,IL1RN
IL1RN,neutrophil
memory CD8 T-cell,IL23A
IL23A,MAIT T-cell
memory B-cell,IL23A
IL23A,MAIT T-cell
T-reg,IL23A
IL23A,MAIT T-cell
naive CD8 T-cell,IL23A
IL23A,MAIT T-cell
memory CD4 T-cell,IL23A
