"CANCER STEM CELL","PROGENITOR CELL"
"CANCER STEM CELL","LUMINAL EPITHELIAL CELL"
"CANCER STEM CELL","PLASMA CELL"
"CANCER STEM CELL","CANCER CELL"
"CANCER STEM CELL","EPITHELIAL CELL"
"CANCER STEM CELL","LUMINAL CELL"
"CANCER STEM CELL","FIBROBLAST"
"CANCER STEM CELL","MACROPHAGE"
"CANCER STEM CELL","MYELOID CELL"
"CANCER STEM CELL","B CELL"
"CANCER STEM CELL","NEURON"
"CANCER STEM CELL","BASAL CELL"
"CANCER STEM CELL","STEM CELL"
"CANCER STEM CELL","T CELL"
"CANCER STEM CELL","PROSTATE STEM CELL"
"CANCER STEM CELL","COLONY-FORMING CELL"
"CANCER STEM CELL","NEUTROPHIL"
"CANCER STEM CELL","ENDOTHELIAL CELL"
"CANCER STEM CELL","NEUROENDOCRINE CELL"
"CANCER STEM CELL","LNCAP CELL"
"CANCER STEM CELL","DENTATE GRANULE CELL"
"CANCER STEM CELL","SMOOTH MUSCLE CELL"
"CANCER STEM CELL","MESENCHYMAL CELL"
"CANCER STEM CELL","NATURAL KILLER CELL"
"CANCER STEM CELL","EARLY TRANSIT-AMPLIFYING PROSTATE EPITHELIAL CELL"
"CANCER STEM CELL","LATE TRANSIT-AMPLIFYING PROSTATE EPITHELIAL CELL"
"CANCER STEM CELL","CANCER-ASSOCIATED FIBROBLAST"
"PROGENITOR CELL","CANCER STEM CELL"
"PROGENITOR CELL","LUMINAL EPITHELIAL CELL"
"PROGENITOR CELL","PLASMA CELL"
"PROGENITOR CELL","CANCER CELL"
"PROGENITOR CELL","EPITHELIAL CELL"
"PROGENITOR CELL","LUMINAL CELL"
"PROGENITOR CELL","FIBROBLAST"
"PROGENITOR CELL","MACROPHAGE"
"PROGENITOR CELL","MYELOID CELL"
"PROGENITOR CELL","B CELL"
"PROGENITOR CELL","NEURON"
"PROGENITOR CELL","BASAL CELL"
"PROGENITOR CELL","STEM CELL"
"PROGENITOR CELL","T CELL"
"PROGENITOR CELL","PROSTATE STEM CELL"
"PROGENITOR CELL","COLONY-FORMING CELL"
"PROGENITOR CELL","NEUTROPHIL"
"PROGENITOR CELL","ENDOTHELIAL CELL"
"PROGENITOR CELL","NEUROENDOCRINE CELL"
"PROGENITOR CELL","LNCAP CELL"
"PROGENITOR CELL","DENTATE GRANULE CELL"
"PROGENITOR CELL","SMOOTH MUSCLE CELL"
"PROGENITOR CELL","MESENCHYMAL CELL"
"PROGENITOR CELL","NATURAL KILLER CELL"
"PROGENITOR CELL","EARLY TRANSIT-AMPLIFYING PROSTATE EPITHELIAL CELL"
"PROGENITOR CELL","LATE TRANSIT-AMPLIFYING PROSTATE EPITHELIAL CELL"
"PROGENITOR CELL","CANCER-ASSOCIATED FIBROBLAST"
"LUMINAL EPITHELIAL CELL","CANCER STEM CELL"
"LUMINAL EPITHELIAL CELL","PROGENITOR CELL"
"LUMINAL EPITHELIAL CELL","PLASMA CELL"
"LUMINAL EPITHELIAL CELL","CANCER CELL"
"LUMINAL EPITHELIAL CELL","EPITHELIAL CELL"
"LUMINAL EPITHELIAL CELL","LUMINAL CELL"
"LUMINAL EPITHELIAL CELL","FIBROBLAST"
"LUMINAL EPITHELIAL CELL","MACROPHAGE"
"LUMINAL EPITHELIAL CELL","MYELOID CELL"
"LUMINAL EPITHELIAL CELL","B CELL"
"LUMINAL EPITHELIAL CELL","NEURON"
"LUMINAL EPITHELIAL CELL","BASAL CELL"
"LUMINAL EPITHELIAL CELL","STEM CELL"
"LUMINAL EPITHELIAL CELL","T CELL"
"LUMINAL EPITHELIAL CELL","PROSTATE STEM CELL"
"LUMINAL EPITHELIAL CELL","COLONY-FORMING CELL"
"LUMINAL EPITHELIAL CELL","NEUTROPHIL"
"LUMINAL EPITHELIAL CELL","ENDOTHELIAL CELL"
"LUMINAL EPITHELIAL CELL","NEUROENDOCRINE CELL"
"LUMINAL EPITHELIAL CELL","LNCAP CELL"
"LUMINAL EPITHELIAL CELL","DENTATE GRANULE CELL"
"LUMINAL EPITHELIAL CELL","SMOOTH MUSCLE CELL"
"LUMINAL EPITHELIAL CELL","MESENCHYMAL CELL"
"LUMINAL EPITHELIAL CELL","NATURAL KILLER CELL"
"LUMINAL EPITHELIAL CELL","EARLY TRANSIT-AMPLIFYING PROSTATE EPITHELIAL CELL"
"LUMINAL EPITHELIAL CELL","LATE TRANSIT-AMPLIFYING PROSTATE EPITHELIAL CELL"
"LUMINAL EPITHELIAL CELL","CANCER-ASSOCIATED FIBROBLAST"
"PLASMA CELL","CANCER STEM CELL"
"PLASMA CELL","PROGENITOR CELL"
"PLASMA CELL","LUMINAL EPITHELIAL CELL"
"PLASMA CELL","CANCER CELL"
"PLASMA CELL","EPITHELIAL CELL"
"PLASMA CELL","LUMINAL CELL"
"PLASMA CELL","FIBROBLAST"
"PLASMA CELL","MACROPHAGE"
"PLASMA CELL","MYELOID CELL"
"PLASMA CELL","B CELL"
"PLASMA CELL","NEURON"
"PLASMA CELL","BASAL CELL"
"PLASMA CELL","STEM CELL"
"PLASMA CELL","T CELL"
"PLASMA CELL","PROSTATE STEM CELL"
"PLASMA CELL","COLONY-FORMING CELL"
"PLASMA CELL","NEUTROPHIL"
"PLASMA CELL","ENDOTHELIAL CELL"
"PLASMA CELL","NEUROENDOCRINE CELL"
"PLASMA CELL","LNCAP CELL"
"PLASMA CELL","DENTATE GRANULE CELL"
