Source,Dest,Weight
ALVEOLAR EPITHELIAL TYPE 1,BASOPHIL/MAST 1          ,0.18999183177947998
ALVEOLAR EPITHELIAL TYPE 1,PLATELET/MEGAKARYOCYTE   ,0.1765323281288147
ALVEOLAR EPITHELIAL TYPE 1,CD8 T                    ,0.1752941757440567
ALVEOLAR EPITHELIAL TYPE 1,BLOOD VESSELS            ,0.17514078319072723
ALVEOLAR EPITHELIAL TYPE 1,EREG+ DENDRITIC          ,0.1725863218307495
ALVEOLAR EPITHELIAL TYPE 1,LYMPHOID                 ,0.16064712405204773
TREM2+ DENDRITIC         ,ALVEOLAR EPITHELIAL TYPE 1,0.1455075740814209
ALVEOLAR EPITHELIAL TYPE 1,MESOTHELIAL              ,0.14419075846672058
PLASMA CELLS             ,ALVEOLAR EPITHELIAL TYPE 1,0.14312100410461426
ALVEOLAR EPITHELIAL TYPE 1,ALVEOLAR EPITHELIAL TYPE 2,0.14302347600460052
ALVEOLAR EPITHELIAL TYPE 1,BASOPHIL/MAST            ,0.14159896969795227
ALVEOLAR EPITHELIAL TYPE 1,CAPILLARY                ,0.1409742832183838
ALVEOLAR EPITHELIAL TYPE 1,DEUTEROSOMAL             ,0.13925038278102875
ALVEOLAR EPITHELIAL TYPE 1,ALVEOLAR MΦ CCL3+        ,0.13792161643505096
ALVEOLAR EPITHELIAL TYPE 1,CAPILLARY AEROCYTE       ,0.13754744827747345
ALVEOLAR EPITHELIAL TYPE 1,RARE                     ,0.13359129428863525
PLASMA CELLS             ,TREM2+ DENDRITIC         ,0.12646402418613434
ALVEOLAR EPITHELIAL TYPE 1,IGSF21+ DENDRITIC        ,0.12483038753271103
ALVEOLAR EPITHELIAL TYPE 1,NEUROENDOCRINE           ,0.12386194616556168
PLASMA CELLS             ,LIPOFIBROBLAST           ,0.12234248965978622
LIPOFIBROBLAST           ,ALVEOLAR EPITHELIAL TYPE 1,0.12197422236204147
PLASMA CELLS             ,SEROUS                   ,0.1191628947854042
ALVEOLAR EPITHELIAL TYPE 1,LIPOFIBROBLAST           ,0.11844275891780853
ALVEOLAR EPITHELIAL TYPE 1,POSITIVE                 ,0.11828894168138504
ALVEOLAR EPITHELIAL TYPE 1,SEROUS                   ,0.11727814376354218
PLASMA CELLS             ,ARTERY                   ,0.1169440969824791
ALVEOLAR EPITHELIAL TYPE 1,PLASMA CELLS             ,0.11556039750576019
LIPOFIBROBLAST           ,PLASMA CELLS             ,0.11491261422634125
PLASMA CELLS             ,MESOTHELIAL              ,0.11484242230653763
PLASMA CELLS             ,ALVEOLAR MΦ PROLIFERATING,0.11461189389228821
ALVEOLAR EPITHELIAL TYPE 1,AIRWAY SMOOTH MUSCLE     ,0.11451809853315353
PLASMA CELLS             ,MYELOID                  ,0.11275128275156021
ALVEOLAR EPITHELIAL TYPE 1,CAPILLARY INTERMEDIATE 1 ,0.11269772052764893
ALVEOLAR EPITHELIAL TYPE 1,IONOCYTE                 ,0.11197303980588913
SMG MUCOUS               ,PLASMA CELLS             ,0.110254667699337
IGSF21+ DENDRITIC        ,ALVEOLAR EPITHELIAL TYPE 1,0.10978206992149353
ALVEOLAR EPITHELIAL TYPE 1,SMG SEROUS (BRONCHIAL)   ,0.10972874611616135
POSITIVE                 ,BASOPHIL/MAST 1          ,0.1091148629784584
ALVEOLAR EPITHELIAL TYPE 1,LYMPHATIC EC DIFFERENTIATING,0.10869390517473221
POSITIVE                 ,LYMPHOID                 ,0.10860511660575867
CILIATED                 ,MESOTHELIAL              ,0.10791566222906113
CILIATED                 ,PLATELET/MEGAKARYOCYTE   ,0.10568057745695114
POSITIVE                 ,DEUTEROSOMAL             ,0.10528459399938583
ALVEOLAR EPITHELIAL TYPE 1,IMMUNE                   ,0.1051752120256424
POSITIVE                 ,CD8 T                    ,0.1050986722111702
IONOCYTE                 ,PLASMA CELLS             ,0.10481224209070206
TREM2+ DENDRITIC         ,MESOTHELIAL              ,0.10347937047481537
ALVEOLAR EPITHELIAL TYPE 1,SM ACTIVATED STRESS RESPONSE,0.10326873511075974
PLASMA CELLS             ,AT1                      ,0.1027371883392334
ALVEOLAR EPITHELIAL TYPE 1,TREM2+ DENDRITIC         ,0.10256364196538925
PLASMA CELLS             ,IGSF21+ DENDRITIC        ,0.10215536504983902
DEUTEROSOMAL             ,BASOPHIL/MAST 1          ,0.1012653186917305
ALVEOLAR EPITHELIAL TYPE 1,PROLIFERATING BASAL      ,0.10106692463159561
CILIATED                 ,BASOPHIL/MAST 1          ,0.10088974982500076
LIPOFIBROBLAST           ,MESOTHELIAL              ,0.10069312155246735
INTERSTITIAL MΦ PERIVASCULAR,ALVEOLAR EPITHELIAL TYPE 1,0.10063280910253525
ALVEOLAR EPITHELIAL TYPE 1,B                        ,0.10034293681383133
PLASMA CELLS             ,MYELOID DENDRITIC TYPE 2 ,0.10030683130025864
ALVEOLAR EPITHELIAL TYPE 1,MULTICILIATED            ,0.09974176436662674
ALVEOLAR EPITHELIAL TYPE 1,FIBROBLAST               ,0.09896136820316315
ALVEOLAR EPITHELIAL TYPE 1,CAPILLARY INTERMEDIATE 2 ,0.09879826009273529
PLASMA CELLS             ,SMG SEROUS (NASAL)       ,0.09850703924894333
ALVEOLAR MΦ CCL3+        ,PLATELET/MEGAKARYOCYTE   ,0.09804549813270569
PLASMA CELLS             ,PROLIFERATING BASAL      ,0.09802807867527008
LIPOFIBROBLAST           ,SEROUS                   ,0.0980139672756195
CILIATED                 ,SEROUS                   ,0.09795035421848297
SMG DUCT                 ,ALVEOLAR EPITHELIAL TYPE 1,0.09739424288272858
PLASMA CELLS             ,SUBMUCOSAL SECRETORY     ,0.09737610071897507
POSITIVE                 ,MESOTHELIAL              ,0.09706250578165054
PROLIFERATING BASAL      ,PLASMA CELLS             ,0.09698205441236496
SMG DUCT                 ,PLASMA CELLS             ,0.0968739315867424
SEROUS                   ,ALVEOLAR EPITHELIAL TYPE 1,0.09678935259580612
DENDRITIC                ,ALVEOLAR EPITHELIAL TYPE 1,0.09657418727874756
POSITIVE                 ,BLOOD VESSELS            ,0.095987468957901
PLASMA CELLS             ,SMG SEROUS (BRONCHIAL)   ,0.095506951212883
PLASMA CELLS             ,POSITIVE                 ,0.09517662227153778
PLASMA CELLS             ,TUFT                     ,0.09517593681812286
AT1                      ,PLASMA CELLS             ,0.09494460374116898
PLASMA CELLS             ,GOBLET                   ,0.0947456881403923
ALVEOLAR EPITHELIAL TYPE 1,EC VENOUS SYSTEMIC       ,0.09437021613121033
ALVEOLAR EPITHELIAL TYPE 1,ALVEOLAR FIBROBLAST      ,0.09433270990848541
PLASMA CELLS             ,MACROPHAGES              ,0.09367530792951584
PLASMA CELLS             ,EC VENOUS                ,0.09349970519542694
SEROUS                   ,PLASMA CELLS             ,0.0933750569820404
PLASMA CELLS             ,AT2 PROLIFERATING        ,0.09336059540510178
POSITIVE                 ,EREG+ DENDRITIC          ,0.09323864430189133
ALVEOLAR EPITHELIAL TYPE 1,BASAL                    ,0.09258319437503815
AT1                      ,MESOTHELIAL              ,0.0925784632563591
PLASMA CELLS             ,MYOFIBROBLAST            ,0.09214335680007935
TREM2+ DENDRITIC         ,PLASMA CELLS             ,0.09193674474954605
PLASMA CELLS             ,PLASMACYTOID DENDRITIC   ,0.09185072779655457
ALVEOLAR EPITHELIAL TYPE 1,SMG DUCT                 ,0.09087932109832764
ALVEOLAR EPITHELIAL TYPE 1,EC VENOUS PULMONARY      ,0.09081880003213882
LIPOFIBROBLAST           ,TREM2+ DENDRITIC         ,0.09071458131074905
SEROUS                   ,AT2 PROLIFERATING        ,0.09068770706653595
LIPOFIBROBLAST           ,PROLIFERATING BASAL      ,0.09050734341144562
MESOTHELIAL              ,CD8 T                    ,0.0904860869050026
CILIATED                 ,BLOOD VESSELS            ,0.09043078124523163
ALVEOLAR MΦ CCL3+        ,IONOCYTE                 ,0.09039387851953506
PLASMA CELLS             ,PERICYTES                ,0.09037378430366516
SMG MUCOUS               ,TREM2+ DENDRITIC         ,0.09016800671815872
AT1                      ,PLATELET/MEGAKARYOCYTE   ,0.09014366567134857
PROLIFERATING BASAL      ,LIPOFIBROBLAST           ,0.09013007581233978
ALVEOLAR EPITHELIAL TYPE 1,LYMPHATIC EC MATURE      ,0.09008540958166122
DEUTEROSOMAL             ,PLATELET/MEGAKARYOCYTE   ,0.08966650068759918
PLASMA CELLS             ,CD16+ MONOCYTE           ,0.08954126387834549
MESOTHELIAL              ,LYMPHOID                 ,0.08947992324829102
SMG MUCOUS               ,SEROUS                   ,0.0894421860575676
SMG MUCOUS               ,MESOTHELIAL              ,0.08926275372505188
PLASMA CELLS             ,SUBMUCOSAL GLAND         ,0.08925797790288925
ALVEOLAR EPITHELIAL TYPE 1,SUBMUCOSAL SECRETORY     ,0.08923562616109848
PROLIFERATING BASAL      ,TREM2+ DENDRITIC         ,0.08898074179887772
LIPOFIBROBLAST           ,AT1                      ,0.08891965448856354
TREM2+ DENDRITIC         ,CAPILLARY INTERMEDIATE   ,0.08873811364173889
MESOTHELIAL              ,BASOPHIL/MAST 1          ,0.08814355731010437
PLASMA CELLS             ,MACROPHAGE               ,0.08800528943538666
CILIATED                 ,ALVEOLAR MΦ CCL3+        ,0.08796557784080505
PLASMA CELLS             ,PROXIMAL BASAL           ,0.08779270201921463
TREM2+ DENDRITIC         ,LIPOFIBROBLAST           ,0.08761674910783768
SMG SEROUS (NASAL)       ,ALVEOLAR EPITHELIAL TYPE 1,0.08714760839939117
PROLIFERATING BASAL      ,IGSF21+ DENDRITIC        ,0.08711257576942444
SMG SEROUS (NASAL)       ,PLASMA CELLS             ,0.0870688185095787
ALVEOLAR EPITHELIAL TYPE 1,MONOCYTE DERIVED MΦ      ,0.08703465759754181
PLASMA CELLS             ,SMOOTH MUSCLE            ,0.08663079142570496
SEROUS                   ,GOBLET (BRONCHIAL)       ,0.08658401668071747
AT2 PROLIFERATING        ,PLASMA CELLS             ,0.0864294171333313
AT1                      ,IGSF21+ DENDRITIC        ,0.08641938120126724
ALVEOLAR EPITHELIAL TYPE 1,NATURAL KILLER T         ,0.08638539910316467
PROLIFERATING BASAL      ,SEROUS                   ,0.08580824732780457
ALVEOLAR EPITHELIAL TYPE 1,ARTERY                   ,0.0854693055152893
PLASMA CELLS             ,DC2                      ,0.08538343012332916
LIPOFIBROBLAST           ,IONOCYTE                 ,0.08537717908620834
ALVEOLAR EPITHELIAL TYPE 1,ALVEOLAR MACROPHAGES     ,0.08526632934808731
PLASMA CELLS             ,B                        ,0.0851970762014389
SEROUS                   ,SECRETORY                ,0.08519341051578522
PLASMA CELLS             ,PROLIFERATING NK/T       ,0.08493197709321976
ALVEOLAR MΦ PROLIFERATING,PLASMA CELLS             ,0.08490845561027527
PLASMA CELLS             ,SUPRABASAL               ,0.08483488857746124
PLASMA CELLS             ,PLASMACYTOID DCS         ,0.08472247421741486
PLASMA CELLS             ,ALVEOLAR MACROPHAGES     ,0.08470027893781662
PROLIFERATING BASAL      ,MYELOID DENDRITIC TYPE 2 ,0.08458026498556137
SEROUS                   ,TREM2+ DENDRITIC         ,0.08443138748407364
PROLIFERATING BASAL      ,MESOTHELIAL              ,0.0842435285449028
CILIATED                 ,CAPILLARY                ,0.08417658507823944
CILIATED                 ,EREG+ DENDRITIC          ,0.08412574976682663
ALVEOLAR EPITHELIAL TYPE 1,OLR1+ CLASSICAL MONOCYTE ,0.08404785394668579
SEROUS                   ,IGSF21+ DENDRITIC        ,0.08395693451166153
DEUTEROSOMAL             ,CD8 T                    ,0.08352352678775787
SEROUS                   ,SMG DUCT                 ,0.08347462862730026
PROXIMAL CILIATED        ,PLASMA CELLS             ,0.08346379548311234
PLASMA CELLS             ,DC1                      ,0.08336465805768967
PLASMA CELLS             ,CAPILLARY INTERMEDIATE   ,0.08304842561483383
PLASMA CELLS             ,EC AEROCYTE CAPILLARY    ,0.0830155611038208
DENDRITIC CELLS          ,ALVEOLAR EPITHELIAL TYPE 1,0.08285809308290482
